    52 -0.1059466D-02 -0.2907173D-02 -0.1291775D-02
    53 -0.9924645D-03 -0.3336902D-02  0.1523568D-02
    54  0.3175074D-02  0.1558555D-04  0.1487891D-02
    55 -0.7109598D-03  0.3289898D-02  0.3749565D-03
    56 -0.3366911D-02 -0.5023376D-03  0.3536566D-03
    57 -0.3111925D-02  0.1016973D-02  0.1111776D-02
    58 -0.1101704D-02 -0.1732438D-03  0.3381389D-02
    59  0.1990397D-02 -0.2464516D-02 -0.1258083D-02
    60  0.1126295D-03  0.3646856D-02  0.8931585D-03
    61  0.1400471D-02  0.2334629D-02  0.1754766D-02
    62 -0.2806262D-02 -0.6092595D-04 -0.1206743D-02
    63  0.3522965D-02 -0.1043567D-02  0.9987430D-03
    64 -0.1006437D-03  0.2325512D-03  0.3390963D-02
     1 -0.1715890D-02 -0.1750922D-02 -0.2502975D-02
     2 -0.2612452D-02  0.3170073D-03 -0.2859640D-02
     3 -0.3043120D-02 -0.6218466D-03 -0.3448110D-02
     4 -0.2377125D-02  0.5712827D-03 -0.3251124D-02
     5  0.6911747D-05 -0.6317568D-03 -0.2788446D-02
     6 -0.1333094D-02  0.5125198D-03 -0.3214047D-02
     7 -0.1438666D-02 -0.1202503D-03 -0.3655565D-02
     8 -0.3918329D-03  0.2404495D-02 -0.2758588D-02
     9  0.3323372D-03 -0.2591728D-02 -0.1711051D-02
    10  0.1042936D-02  0.4645457D-03 -0.3461919D-02
    11  0.2291171D-02  0.2714979D-03 -0.3767451D-02
    12  0.1493944D-02  0.1824806D-03 -0.2985505D-02
    13  0.2841535D-02 -0.5194225D-03 -0.1676892D-02
    14  0.3183362D-02 -0.4629675D-03 -0.2911373D-02
    15  0.3040327D-02  0.5140642D-03 -0.3117855D-02
    16  0.1492620D-02  0.2258546D-02 -0.1198440D-02
    17 -0.2508749D-02 -0.2738839D-03 -0.1904533D-02
    18 -0.2918407D-02  0.2308991D-03 -0.1315853D-02
    19 -0.3452423D-02  0.2464672D-03 -0.1948326D-02
    20 -0.2322777D-02  0.1576747D-02 -0.1242259D-02
    21 -0.9432924D-03 -0.3210105D-02 -0.2653457D-03
    22 -0.1151582D-02  0.2940949D-03 -0.8995165D-03
    23 -0.2147531D-02  0.2693673D-03 -0.1858313D-02
    24 -0.1448276D-02  0.2652602D-03 -0.9935550D-03
    25  0.1095722D-02 -0.1135094D-02 -0.6410565D-03
    26  0.1464507D-02  0.1726246D-04 -0.1897512D-02
    27  0.1990725D-02 -0.3646624D-03 -0.2068081D-02
    28  0.2471467D-03  0.2084456D-02 -0.1021003D-02
    29  0.2010939D-02 -0.3008502D-02 -0.4376378D-03
    30  0.3484321D-02 -0.6324049D-05 -0.8788332D-03
    31  0.3552271D-02 -0.1388599D-03 -0.8451108D-03
    32  0.2637378D-02  0.1076803D-02 -0.1262117D-02
    33 -0.2860929D-02 -0.2205107D-02  0.1284754D-02
    34 -0.3055320D-02 -0.8159396D-03  0.1307285D-02
    35 -0.3328935D-02  0.1017802D-02  0.1026834D-02
    36 -0.2966034D-02  0.3561524D-03  0.7851633D-03
    37 -0.1450232D-02 -0.1089767D-02  0.8294231D-03
    38 -0.1925570D-02  0.5784249D-03  0.1725180D-02
    39 -0.9934124D-03 -0.1195728D-03  0.1342988D-02
    40 -0.9982222D-03  0.2215655D-02  0.1481069D-02
    41  0.5083543D-03 -0.2899455D-02  0.1187268D-02
    42  0.1380661D-02  0.3315340D-03  0.1046972D-02
    43  0.1275431D-02 -0.1455675D-04  0.1257858D-02
    44  0.7375554D-03  0.1543026D-02  0.1595888D-02
    45  0.2237285D-02 -0.7380759D-03  0.1011611D-02
    46  0.3490699D-02  0.3991149D-03  0.1253558D-02
    47  0.3789775D-02 -0.8930259D-04  0.2055832D-02
    48  0.2175953D-02  0.2291230D-02  0.9625132D-03
    49 -0.1816358D-02 -0.4860567D-03  0.2573012D-02
    50 -0.2805811D-02  0.3188631D-03  0.2245952D-02
    51 -0.3184665D-02  0.1717249D-03  0.3610994D-02
    52 -0.2459878D-02  0.1167966D-02  0.1404809D-02
    53 -0.9184974D-03 -0.3144866D-02  0.2523980D-02
    54 -0.1338110D-02  0.4614460D-03  0.3260314D-02
